Year,Age,Sex,mx
1845,26,Male,0.00911
1845,27,Female,0.00911
1845,27,Male,0.00898
1845,28,Female,0.00932
1845,28,Male,0.00899
1845,29,Female,0.00971
1845,29,Male,0.00910
1845,30,Female,0.01000
1845,30,Male,0.00922
1845,31,Female,0.01012
1845,31,Male,0.00930
1845,32,Female,0.01020
1845,32,Male,0.00941
1845,33,Female,0.01026
1845,33,Male,0.00951
1845,34,Female,0.01033
1845,34,Male,0.00963
1845,35,Female,0.01045
1845,35,Male,0.00988
1845,36,Female,0.01064
1845,36,Male,0.01025
1845,37,Female,0.01090
1845,37,Male,0.01069
1845,38,Female,0.01142
1845,38,Male,0.01137
1845,39,Female,0.01227
1845,39,Male,0.01232
1845,40,Female,0.01288
1845,40,Male,0.01308
1845,41,Female,0.01308
1845,41,Male,0.01350
1845,42,Female,0.01316
1845,42,Male,0.01380
1845,43,Female,0.01292
1845,43,Male,0.01380
1845,44,Female,0.01235
1845,44,Male,0.01350
1845,45,Female,0.01207
1845,45,Male,0.01346
1845,46,Female,0.01220
1845,46,Male,0.01379
1845,47,Female,0.01255
1845,47,Male,0.01433
1845,48,Female,0.01340
1845,48,Male,0.01544
1845,49,Female,0.01484
1845,49,Male,0.01725
1845,50,Female,0.01608
1845,50,Male,0.01878
1845,51,Female,0.01677
1845,51,Male,0.01957
1845,52,Female,0.01735
1845,52,Male,0.02016
1845,53,Female,0.01748
1845,53,Male,0.02029
1845,54,Female,0.01711
1845,54,Male,0.01997
1845,55,Female,0.01729
1845,55,Male,0.02016
1845,56,Female,0.01827
1845,56,Male,0.02105
1845,57,Female,0.01957
1845,57,Male,0.02230
1845,58,Female,0.02213
1845,58,Male,0.02497
1845,59,Female,0.02666
1845,59,Male,0.02992
1845,60,Female,0.03073
1845,60,Male,0.03439
1845,61,Female,0.03316
1845,61,Male,0.03685
1845,62,Female,0.03556
1845,62,Male,0.03927
1845,63,Female,0.03631
1845,63,Male,0.04000
1845,64,Female,0.03521
1845,64,Male,0.03886
1845,65,Female,0.03602
1845,65,Male,0.03975
1845,66,Female,0.03890
1845,66,Male,0.04282
1845,67,Female,0.04210
1845,67,Male,0.04626
1845,68,Female,0.04757
1845,68,Male,0.05237
1845,69,Female,0.05704
1845,69,Male,0.06349
1845,70,Female,0.06552
1845,70,Male,0.07368
1845,71,Female,0.07075
1845,71,Male,0.07962
1845,72,Female,0.07621
1845,72,Male,0.08585
1845,73,Female,0.08020
1845,73,Male,0.08987
1845,74,Female,0.08193
1845,74,Male,0.09078
1845,75,Female,0.08592
1845,75,Male,0.09481
1845,76,Female,0.09294
1845,76,Male,0.10277
1845,77,Female,0.10032
1845,77,Male,0.11133
1845,78,Female,0.11179
1845,78,Male,0.12382
1845,79,Female,0.13140
1845,79,Male,0.14424
1845,80,Female,0.11968
1845,80,Male,0.13706
1845,81,Female,0.13070
1845,81,Male,0.15063
1845,82,Female,0.14421
1845,82,Male,0.16728
1845,83,Female,0.15922
1845,83,Male,0.18647
1845,84,Female,0.17173
1845,84,Male,0.20515
1845,85,Female,0.18040
